article_id,title,year,pdf_url,candidate_source,host,arxiv_id,doi,publishers
gsa-3f90d1df5519,Modeling and analysis of LoRa-enabled task offloading in edge computing for enhanced battery life in wearable devices,2025,https://link.springer.com/content/pdf/10.1007/s10586-024-04925-2.pdf,derived_springer_doi,link.springer.com,,10.1007/s10586-024-04925-2,"[""Springer""]"
gsa-7ac742b45df5,Collaborative Sensing-Aware Task Offloading and Resource Allocation for Integrated Sensing-Communication-and Computation-Enabled Internet of Vehicles (IoV),2025,https://www.mdpi.com/1424-8220/25/3/723/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-c974ff8ff88c,Joint computation offloading and resource allocation in multi-cell MEC networks,2025,https://link.springer.com/content/pdf/10.1007/s11227-025-06921-8.pdf,derived_springer_doi,link.springer.com,,10.1007/s11227-025-06921-8,"[""Springer""]"
gsa-c2102c76fd01,Intelligent deep federated learning model for enhancing security in internet of things enabled edge computing environment,2025,https://www.nature.com/articles/s41598-025-88163-5.pdf,derived_nature,www.nature.com,,10.1038/s41598-025-88163-5,"[""Nature""]"
gsa-cda8a79f6a6c,ESDN: edge computing task scheduling strategy based on dilated convolutional neural network and quasi-newton algorithm,2025,https://link.springer.com/content/pdf/10.1007/s10586-024-04789-6.pdf,derived_springer_doi,link.springer.com,,10.1007/s10586-024-04789-6,"[""Springer""]"
gsa-92526da3dbf8,Cooperative Service Caching and Task Offloading in Mobile Edge Computing: A Novel Hierarchical Reinforcement Learning Approach,2025,https://www.mdpi.com/2079-9292/14/2/380/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-93197ebaac5e,Power Controlled-Resource Allocation and Task Offloading via Optimized Deep Reinforcement Learning in Device-to-Device-assisted Mobile Edge Computing,2025,https://ieeexplore.ieee.org/iel8/6287639/6514899/10850906.pdf,direct,ieeexplore.ieee.org,,,"[""IEEE Xplore""]"
gsa-54ab309a40d1,Task Offloading Strategy for UAV-Assisted Mobile Edge Computing with Covert Transmission,2025,https://www.mdpi.com/2079-9292/14/3/446/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-227c40c13618,Optimization of computational offloading in the mobile edge: a game theoretic approach,2025,https://link.springer.com/content/pdf/10.1007/s10586-024-04886-6.pdf,derived_springer_doi,link.springer.com,,10.1007/s10586-024-04886-6,"[""Springer""]"
gsa-8e9783ced9ab,Online Collaborative Resource Allocation and Task Offloading for Multi-access Edge Computing,2025,https://arxiv.org/pdf/2501.02952,direct,arxiv.org,2501.02952,,"[""arXiv""]"
gsa-e00eef63ac26,Joint Task Offloading and Resource Allocation in Mobile Edge Computing-Enabled Medical Vehicular Networks,2025,https://www.mdpi.com/2227-7390/13/1/52/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-33beaed86cc5,A Blockchain-Assisted Federated Learning Framework for Secure and Self-Optimizing Digital Twins in Industrial IoT,2025,https://www.mdpi.com/1999-5903/17/1/13/pdf,derived_mdpi,www.mdpi.com,,,"[""MDPI""]"
gsa-b79d7debef21,Joint trajectory design and resource allocation for UAV-assisted mobile edge computing in power convergence network,2025,https://link.springer.com/content/pdf/10.1186/s13638-024-02426-9.pdf,derived_springer_doi,link.springer.com,,10.1186/s13638-024-02426-9,"[""Springer""]"
gsa-6077e18ddd49,Trust-based resource allocation and task splitting in ultra-dense mobile edge computing network,2025,https://link.springer.com/content/pdf/10.1007/s12083-024-01873-x.pdf,derived_springer_doi,link.springer.com,,10.1007/s12083-024-01873-x,"[""Springer""]"
gsa-840c6ee11815,An autonomic offloading and resource allocation technique for IoT applications in edge computing,2025,https://link.springer.com/content/pdf/10.1007/s11227-024-06491-1.pdf,derived_springer_doi,link.springer.com,,10.1007/s11227-024-06491-1,"[""Springer""]"
