source_email_id,email_ts,title,authors_venue,access_hint,direct_url,url_type,extracted_from
193c34247a0838e5,2024-12-14T03:42:00,"Towards Optimal Train Control: An Edge Computing Approach With Adaptive Computation Offloading","L Zhu, Y Liang, Y Li - IEEE Internet of Things Journal, 2024",,https://ieeexplore.ieee.org/abstract/document/10786200/,publisher,gmail_body
19347e49f0eef4f0,2024-11-20T04:46:24,"Adaptive Task Offloading for Mobile Edge Computing With Forecast Information","Y Wang, M Kong, G Zhang, W Wang, T Nakachi, J Liou - IEEE Transactions on ..., 2024",,https://ieeexplore.ieee.org/abstract/document/10731846/,publisher,gmail_body
19347e49f0eef4f0,2024-11-20T04:46:24,"To Train or Not to Train: Balancing Efficiency and Training Cost in Deep Reinforcement Learning for Mobile Edge Computing","M Boscaro, F Mason, F Chiariotti, A Zanella - arXiv preprint arXiv:2411.07086, 2024",PDF,https://arxiv.org/pdf/2411.07086,arxiv_pdf,gmail_body
198557f016883de2,2025-07-29T09:24:03,"Task Offloading and Resource Scheduling in Mobile Edge-Cloud Computing Based on Edge Competition and Task Prediction","S Tian, K Xu, S Xiang, X Dai, Z Xiao, L Zeng - IEEE Transactions on Services ..., 2025",,https://ieeexplore.ieee.org/abstract/document/11095833/,publisher,gmail_body
198557f016883de2,2025-07-29T09:24:03,"Real-Time Object Detection and Classification using YOLO for Edge FPGAs","RA Amin, R Obermaisser - arXiv preprint arXiv:2507.18174, 2025",PDF,https://arxiv.org/pdf/2507.18174,arxiv_pdf,gmail_body
198557f016883de2,2025-07-29T09:24:03,"Lightweight Federated Learning over Wireless Edge Networks","X Hou, J Wang, J Du, C Jiang, Y Ren, D Niyato - arXiv preprint arXiv:2507.09546, 2025",PDF,https://arxiv.org/pdf/2507.09546,arxiv_pdf,gmail_body
198557f016883de2,2025-07-29T09:24:03,"Dynamic Task Offloading and Resource Allocation for Air-Ground Integrated Networks Based on MADDPG","J Xue, P Mao, L Wang, Q Yu, C Fan - Journal of Beijing Institute of Technology, 2025",PDF,https://journal.bit.edu.cn/jbit/en/article/pdf/preview/10.15918/j.jbit1004-0579.2024.124.pdf,pdf,gmail_body
198557f016883de2,2025-07-29T09:24:03,"Throughput-Aware Cooperative Task Offloading in Dynamic Mobile Edge Computing Systems","L Dai, F Zeng, H Kong, J Cai, H Jiang, K Li - IEEE Transactions on Mobile Computing, 2025",,https://ieeexplore.ieee.org/abstract/document/11095639/,publisher,gmail_body
198557f016883de2,2025-07-29T09:24:03,"DRL-Based Resource Allocation in NOMA-Aided Industrial IoT Towards Energy Productivity Maximization","A Lotfolahi, HW Ferng - IEEE Transactions on Network Science and ..., 2025",,https://ieeexplore.ieee.org/abstract/document/11060652/,publisher,gmail_body
197c94ec0fb828d1,2025-07-02T04:04:30,"EADRL: Efficiency-Aware Adaptive Deep Reinforcement Learning for Dynamic Task Scheduling in Edge-Cloud Environments","J Anand, B Karthikeyan - Results in Engineering, 2025",HTML,https://www.sciencedirect.com/science/article/pii/S2590123025019619,publisher,gmail_body
197c94ec0fb828d1,2025-07-02T04:04:30,"Let's Go Bananas: Beyond Bounding Box Representations for Fisheye Camera-Based Object Detection in Autonomous Driving","S Yogamani, G Sistu, P Denny, J Courtney - Sensors (Basel, Switzerland), 2025",HTML,https://pmc.ncbi.nlm.nih.gov/articles/PMC12196831/,open_html,gmail_body
197c94ec0fb828d1,2025-07-02T04:04:30,"Distributed RL-based Resource Allocation and Task Offloading for Vehicular Edge of Things Computing","G Afifi, B Mokhtar - IEEE Open Journal of Vehicular Technology, 2025",,https://ieeexplore.ieee.org/abstract/document/11045983/,publisher,gmail_body
195cde4b6125fb40,2025-03-25T15:21:12,"Quality of Experience and Reliability-Aware Task Offloading and Scheduling for Multi-User Mobile-Edge Computing Systems","J Zhou, X Hou, Y Zeng, P Cong, W Jiang, S Guo - IEEE Transactions on Services ..., 2025",,https://ieeexplore.ieee.org/abstract/document/10930689/,publisher,gmail_body
194f0bcddab22bd6,2025-02-10T16:41:36,"Robust Task Offloading and Resource Allocation Under Imperfect Computing Capacity Information in Edge Intelligence Systems","Z Nan, Y Han, J Yan, S Zhou, Z Niu - IEEE Transactions on Mobile Computing, 2025",,https://ieeexplore.ieee.org/abstract/document/10876797/,publisher,gmail_body
194f0bcddab22bd6,2025-02-10T16:41:36,"Joint Class-Balanced Client Selection and Bandwidth Allocation for Cost-Efficient Federated Learning in Mobile Edge Computing Networks","J Tang, X Li, H Li, P Li, X Wang, VCM Leung - IEEE Transactions on Mobile ..., 2025",,https://ieeexplore.ieee.org/abstract/document/10876775/,publisher,gmail_body
194f0bcddab22bd6,2025-02-10T16:41:36,"A smart grid computational offloading policy generation method for end-edge-cloud environments","W Liu, Y Wang, C Xu, M Zheng - Journal of Reliable Intelligent Environments, 2025",,https://link.springer.com/article/10.1007/s40860-025-00243-5,publisher,gmail_body
197298bb40251f53,2025-06-01T03:31:49,"Multi-Objective Dependent Task Scheduling, Resource Allocation, and Service Caching in Aerial-Ground Integrated MEC","F Song, H Xing, L Xu, M Xiao, Y Liu, M Deng, X Chen... - IEEE Transactions on ..., 2025",,https://ieeexplore.ieee.org/abstract/document/11015727/,publisher,gmail_body
197298bb40251f53,2025-06-01T03:31:49,"BQProfit: Budget and QoS aware task offloading and resource allocation for Profit maximization under MEC platform","A Islam, M Ghose - Journal of Systems Architecture, 2025",,https://www.sciencedirect.com/science/article/pii/S1383762125001195,publisher,gmail_body
197298bb40251f53,2025-06-01T03:31:49,"An Integral-Differential Probabilistic Fusion Framework of YOLO v8 and GPT-4o for High-Fidelity Tiny Object Recognition and Collision Threat Confidence in Autonomous Driving","AA Jafari, A Agarwal, C Ozcinar, G Anbarjafari - Signal, Image and Video Processing, 2025",,https://link.springer.com/article/10.1007/s11760-025-04243-z,publisher,gmail_body
197298bb40251f53,2025-06-01T03:31:49,"Dynamic Task Scheduling Optimization by Rolling Horizon Deep Reinforcement Learning for Distributed Satellite System","Z Li, X Zhu, C Liu, J Song, Y Liu, C Yin, W Sun - Expert Systems with Applications, 2025",,https://www.sciencedirect.com/science/article/pii/S0957417425019694,publisher,gmail_body
197298bb40251f53,2025-06-01T03:31:49,"RenderFormer: Transformer-based Neural Rendering of Triangle Meshes with Global Illumination","C Zeng, Y Dong, P Peers, H Wu, X Tong - arXiv preprint arXiv:2505.21925, 2025",PDF,https://arxiv.org/pdf/2505.21925,arxiv_pdf,gmail_body
197298bb40251f53,2025-06-01T03:31:49,"DAU-YOLO: A Lightweight and Effective Method for Small Object Detection in UAV Images","Z Wan, Y Lan, Z Xu, K Shang, F Zhang - Remote Sensing, 2025",,https://www.mdpi.com/2072-4292/17/10/1768,publisher,gmail_body
197298bb40251f53,2025-06-01T03:31:49,"Minimizing Economic Costs and Task Processing Fails in MEC-Enabled Satellite-Ground Integrated Networks With MADDPG and Fuzzy Logic","J Du, J Zhang, Z Kong, Z Yu, B Hu, J Jiang, G Lu - IEEE Transactions on Consumer ..., 2025",,https://ieeexplore.ieee.org/abstract/document/11016097/,publisher,gmail_body
